TITLE;YEAR;IMDB RATING;USER RATINGS
Quanto Mais Quente Melhor;1959;8.2; 244,336
O Castelo Animado;2004;8.2; 334,801
A Malvada;1950;8.2; 120,740
Cassino;1995;8.2; 467,095
Uma Mente Brilhante;2001;8.2; 850,238
Fugindo do Inferno;1963;8.2; 225,051
O Lobo de Wall Street;2013;8.2; 1,191,063
O Labirinto do Fauno;2006;8.2; 619,302
O Segredo dos Seus Olhos;2009;8.1; 193,514
Sangue Negro;2007;8.1; 518,319
Jogos, Trapaças e Dois Canos Fumegantes;1998;8.1; 535,886
Julgamento em Nuremberg;1961;8.1; 69,585
Meu Amigo Totoro;1988;8.1; 291,944
Touro Indomável;1980;8.1; 322,345
O Tesouro da Sierra Madre;1948;8.1; 114,491
Disque M para Matar;1954;8.1; 158,664
Três Anúncios para um Crime;2017;8.1; 433,949
Ilha do Medo;2010;8.1; 1,132,175
Chinatown;1974;8.1; 294,751
Em Busca do Ouro;1925;8.1; 101,276
Meu Pai e Meu Filho;2005;8.1; 79,104
Onde os Fracos Não Têm Vez;2007;8.1; 858,403
V de Vingança;2005;8.1; 1,033,880
Divertida Mente;2015;8.1; 617,652
O Homem Elefante;1980;8.1; 220,451
O Sétimo Selo;1957;8.1; 165,315
O Enigma de Outro Mundo;1982;8.1; 371,765
Guerreiro;2011;8.1; 436,485
O Sexto Sentido;1999;8.1; 912,496
Trainspotting: Sem Limites;1996;8.1; 635,393
Jurassic Park: O Parque dos Dinossauros;1993;8.1; 868,714
Klaus;2019;8.1; 105,460
O Show de Truman: O Show da Vida;1998;8.1; 941,437
...E o Vento Levou;1939;8.1; 290,453
Procurando Nemo;2003;8.1; 950,738
Morangos Silvestres;1957;8.1; 96,618
Stalker;1979;8.1; 117,271
Blade Runner: O Caçador de Androides;1982;8.1; 694,658
Kill Bill: Volume 1;2003;8.1; 1,002,036
Memórias de um Assassino;2003;8.1; 140,128
Fargo: Uma Comédia de Erros;1996;8.1; 618,336
A Ponte do Rio Kwai;1957;8.1; 203,747
O Quarto de Jack;2015;8.1; 372,405
Relatos Selvagens;2014;8.1; 177,443
Gran Torino;2008;8.1; 721,216
O 3º Homem;1949;8.1; 158,971
Era uma Vez em Tóquio;1953;8.1; 53,309
Sindicato de Ladrões;1954;8.1; 142,351
O Franco Atirador;1978;8.1; 311,803
Em Nome do Pai;1993;8.1; 157,124
Mary e Max: Uma Amizade Diferente;2009;8.1; 164,645
O Grande Hotel Budapeste;2014;8.1; 708,954
Garota Exemplar;2014;8.1; 861,255
Antes do Amanhecer;1995;8.1; 272,769
Anand;1971;8.1; 30,367
Prenda-me se for Capaz;2002;8.1; 834,749
Até o Último Homem;2016;8.1; 437,025
Quando Duas Mulheres Pecam;1966;8.1; 103,512
Os Suspeitos;2013;8.1; 602,417
Assassinato às Cegas;2018;8.1; 72,152
Sonata de Outono;1978;8.1; 27,038
O Grande Lebowski;1998;8.1; 733,559
Bancando o Águia;1924;8.1; 42,144
Ser ou Não Ser;1942;8.1; 30,042
A General;1926;8.1; 81,321
Como Treinar o Seu Dragão;2010;8.1; 667,668
Ford vs Ferrari;2019;8.1; 292,944
Barry Lyndon;1975;8.1; 150,165
12 Anos de Escravidão;2013;8.1; 641,515
O Bandido;1996;8.1; 64,224
A Mulher Faz o Homem;1939;8.1; 107,145
Mad Max: Estrada da Fúria;2015;8.1; 883,655
Soul;2020;8.1; 168,273
Menina de Ouro;2004;8.1; 636,734
Sociedade dos Poetas Mortos;1989;8.1; 426,400
Rede de Intrigas;1976;8.1; 145,088
Conta Comigo;1986;8.1; 363,826
Harry Potter e as Relíquias da Morte - Parte 2;2011;8.1; 765,723
Ben-Hur;1959;8.1; 219,760
Sempre ao Seu Lado;2009;8.1; 254,004
Rebeldia Indomável;1967;8.1; 162,218
A Criada;2016;8.1; 114,164
Platoon;1986;8.0; 381,696
Logan;2017;8.0; 649,005
Na Natureza Selvagem;2007;8.0; 573,720
Rush: No Limite da Emoção;2013;8.0; 433,367
O Salário do Medo;1953;8.0; 54,690
A Vida de Brian;1979;8.0; 367,749
O Ódio;1995;8.0; 150,683
Os Incompreendidos;1959;8.0; 105,522
Spotlight: Segredos Revelados;2015;8.0; 421,154
O Martírio de Joana D'Arc;1928;8.0; 47,849
Hotel Ruanda;2004;8.0; 334,656
Vida Cigana;1988;8.0; 26,557
Amores Brutos;2000;8.0; 223,964
Gangues de Wasseypur;2012;8.0; 82,534
Rocky: Um Lutador;1976;8.0; 519,294
Monstros S.A.;2001;8.0; 816,638
Andrei Rublev;1966;8.0; 47,112
Nausicaä do Vale do Vento;1984;8.0; 151,244
Rebecca, a Mulher Inesquecível;1940;8.0; 124,130
Antes do Pôr-do-Sol;2004;8.0; 236,699
Rififi;1955;8.0; 28,954
Pinte de Açafrão;2006;8.0; 112,093
Amor à Flor da Pele;2000;8.0; 124,663
Paris, Texas;1984;8.0; 91,456
Retrato de uma Jovem em Chamas;2019;8.0; 63,730
Aconteceu Naquela Noite;1934;8.0; 94,204
Um Contratempo;2016;8.0; 142,293
A Voz do Silêncio;2016;8.0; 48,204
Histórias Cruzadas;2011;8.0; 429,112
A Chantagem;2015;8.0; 70,599
A Batalha de Argel;1966;8.0; 53,207
Tangerinas;2013;8.0; 40,550
A Fraternidade é Vermelha;1994;8.0; 90,957
Swades: We, the People;2004;8.0; 83,073
